embedding_label,beta,k,alpha,num_folds,dev_accuracy_mean,dev_accuracy_std,dev_macro_f1_mean,dev_macro_f1_std,dev_accuracy_reachable_mean,dev_accuracy_reachable_std,dev_unreachable_count_mean,dev_unreachable_count_std,edge_purity_mean,edge_purity_std,edge_purity_fold_mean,edge_purity_fold_std,component_label_coverage_mean,component_label_coverage_std,num_components_mean,num_components_std,largest_component_fraction_mean,largest_component_fraction_std,unreachable_count_mean,unreachable_count_std,unreachable_fraction_mean,unreachable_fraction_std,iterations_mean,iterations_std,final_delta_mean,final_delta_std,converged_mean,converged_std,confidence_mean_mean,confidence_mean_std,graph_seconds_mean,graph_seconds_std,fold_seconds_mean,fold_seconds_std
beta=0.001,0.001,15,0.5,10,0.3775,0.029083213944358578,0.370008292240371,0.028336479743220632,0.3775,0.029083213944358578,0.0,0.0,0.5103974121996303,0.0,0.5077299918497618,0.049932080147236595,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,11.6,0.6992058987801011,6.05359673500061e-07,2.1228162891924533e-07,1.0,0.0,0.47788029901284546,0.0032586297804872736,0.8937191963195801,0.0,0.2953120231628418,0.014900767784520293
beta=0.001,0.001,15,0.8,10,0.39549999999999996,0.03286757943289676,0.3853781388808535,0.03258874460377645,0.39549999999999996,0.03286757943289676,0.0,0.0,0.5103974121996303,0.0,0.5077299918497618,0.049932080147236595,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,23.5,3.1710495984067415,8.613336831331253e-07,7.474924984194165e-08,1.0,0.0,0.353769028612283,0.00323136114602885,0.8937191963195801,0.0,0.3267010450363159,0.027115208573108892
beta=0.001,0.001,15,0.9,10,0.39100000000000007,0.03247221034122015,0.3762327131029085,0.033935929670151535,0.39100000000000007,0.03247221034122015,0.0,0.0,0.5103974121996303,0.0,0.5077299918497618,0.049932080147236595,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,35.4,4.812021982031623,8.857343345880508e-07,5.7257805638940864e-08,1.0,0.0,0.2817754961264062,0.0030354442992499456,0.8937191963195801,0.0,0.356518816947937,0.03449008611509671
beta=0.001,0.001,15,0.95,10,0.38050000000000006,0.036013114895055175,0.36017164580151473,0.03975385170430786,0.38050000000000006,0.036013114895055175,0.0,0.0,0.5103974121996303,0.0,0.5077299918497618,0.049932080147236595,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,49.3,5.396500923952688,9.328825399279594e-07,3.1686512259679914e-08,1.0,0.0,0.22426099491526683,0.003393293545459656,0.8937191963195801,0.0,0.3898506164550781,0.025153034963944373
beta=0.001,0.001,15,0.99,10,0.2355,0.03227055761664011,0.19017640467839864,0.025634285002416962,0.2355,0.03227055761664011,0.0,0.0,0.5103974121996303,0.0,0.5077299918497618,0.049932080147236595,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,84.5,3.8078865529319543,9.726150892674924e-07,1.170500598519226e-08,1.0,0.0,0.15543912559277953,0.008318519347740697,0.8937191963195801,0.0,0.46386382579803465,0.0192978761867942
beta=0.001,0.001,20,0.5,10,0.3795,0.036167050689205435,0.3697048504797314,0.040374949000423495,0.3795,0.036167050689205435,0.0,0.0,0.4938506842196431,5.851389114294502e-17,0.49510721703397065,0.044552135997931834,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.7,0.674948557710553,6.88992440700531e-07,2.1861112100151475e-07,1.0,0.0,0.46250184839275627,0.0037749411773496926,0.9115629196166992,0.0,0.3007250547409058,0.016218403294549613
beta=0.001,0.001,20,0.8,10,0.391,0.03389526351702977,0.37873418729984165,0.03700385824392083,0.391,0.03389526351702977,0.0,0.0,0.4938506842196431,5.851389114294502e-17,0.49510721703397065,0.044552135997931834,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,21.8,0.6324555320336759,8.242204785346985e-07,1.2448736476396143e-07,1.0,0.0,0.3458420328232859,0.0033788828658066605,0.9115629196166992,0.0,0.33039541244506837,0.012914912415936678
beta=0.001,0.001,20,0.9,10,0.393,0.03137585766866692,0.3765596000698131,0.035908026475090886,0.393,0.03137585766866692,0.0,0.0,0.4938506842196431,5.851389114294502e-17,0.49510721703397065,0.044552135997931834,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,31.9,0.5676462121975466,8.679460734128952e-07,4.478664856745651e-08,1.0,0.0,0.2745614430166568,0.0030776761449102753,0.9115629196166992,0.0,0.3487251758575439,0.01417681279441911
beta=0.001,0.001,20,0.95,10,0.3745,0.026188419832691958,0.3521049420537574,0.03288675610777362,0.3745,0.026188419832691958,0.0,0.0,0.4938506842196431,5.851389114294502e-17,0.49510721703397065,0.044552135997931834,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,45.6,2.0110804171997807,9.559080353938043e-07,3.222950269009492e-08,1.0,0.0,0.21817636104006852,0.0034749734322059946,0.9115629196166992,0.0,0.3859509229660034,0.020290657894078468
beta=0.001,0.001,20,0.99,10,0.23450000000000001,0.034355171048588574,0.19067546649374162,0.029861771191991463,0.23450000000000001,0.034355171048588574,0.0,0.0,0.4938506842196431,5.851389114294502e-17,0.49510721703397065,0.044552135997931834,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,80.1,3.842742076521226,9.692390449345113e-07,1.4895480822021675e-08,1.0,0.0,0.1539197685160027,0.008549174204945349,0.9115629196166992,0.0,0.4640613794326782,0.013602671562546598
beta=0.001,0.001,30,0.5,10,0.392,0.03874417518945411,0.3813525100933147,0.04454845037634524,0.392,0.03874417518945411,0.0,0.0,0.47110801069643066,0.0,0.4678805611324345,0.024931656883858982,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,6.774906069040299e-07,4.9398374199807e-08,1.0,0.0,0.4553267019470816,0.003703318672242306,0.9224884510040283,0.0,0.30117135047912597,0.010421571279628412
beta=0.001,0.001,30,0.8,10,0.394,0.042084570938897684,0.37969463713291074,0.04846030824695458,0.394,0.042084570938897684,0.0,0.0,0.47110801069643066,0.0,0.4678805611324345,0.024931656883858982,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,20.9,0.3162277660168379,7.573515176773072e-07,4.941532013056384e-08,1.0,0.0,0.3377697768288638,0.003125086553972009,0.9224884510040283,0.0,0.30271832942962645,0.05072441048450939
beta=0.001,0.001,30,0.9,10,0.3865,0.029254629263303505,0.3694738868752607,0.03300966960353275,0.3865,0.029254629263303505,0.0,0.0,0.47110801069643066,0.0,0.4678805611324345,0.024931656883858982,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,30.6,0.6992058987801011,8.883187547326088e-07,4.691254045764789e-08,1.0,0.0,0.26516969654893596,0.002903427385223311,0.9224884510040283,0.0,0.3172219038009644,0.03580917247602957
